,e141_R,e150_R,h1046_R,h1157,h2000_R,h968,h999,x107,x120,x138_R
e141_R,1.0,0.37404496692268313,0.2551316151974196,0.2967408341502958,0.262134820654487,0.21173747943785082,0.3124972317826444,0.4048218367924844,0.30681316073316783,0.3552184823865638
e150_R,0.37404496692268313,1.0,0.25976100276742015,0.35187869952502965,0.1600523934731159,0.2166716056702766,0.2918918064026809,0.28187995371456315,0.28887830963580263,0.35486376435065153
h1046_R,0.2551316151974196,0.25976100276742015,1.0,0.4028911225758028,0.29919526111681993,0.2861121376339193,0.2764452421152569,0.3261902069172943,0.36024889877170707,0.40501187786800075
h1157,0.2967408341502958,0.35187869952502965,0.4028911225758028,1.0,0.3198028077718239,0.37834304371426525,0.46041432928524006,0.44219286280002457,0.46708415566348227,0.4264778336792256
h2000_R,0.262134820654487,0.1600523934731159,0.29919526111681993,0.3198028077718239,1.0,0.3149453432726282,0.2915052046805435,0.3019212692453255,0.25557397444401236,0.28433417071255646
h968,0.21173747943785082,0.2166716056702766,0.2861121376339193,0.37834304371426525,0.3149453432726282,1.0,0.4390769555082314,0.3458667776988315,0.30735137604835694,0.261258499277943
h999,0.3124972317826444,0.2918918064026809,0.2764452421152569,0.46041432928524006,0.2915052046805435,0.4390769555082314,1.0,0.3677336085111347,0.33118837232786635,0.2724789389003971
x107,0.4048218367924844,0.28187995371456315,0.3261902069172943,0.44219286280002457,0.3019212692453255,0.3458667776988315,0.3677336085111347,1.0,0.4869766057910286,0.42881855121085927
x120,0.30681316073316783,0.28887830963580263,0.36024889877170707,0.46708415566348227,0.25557397444401236,0.30735137604835694,0.33118837232786635,0.4869766057910286,1.0,0.4429617391611336
x138_R,0.3552184823865638,0.35486376435065153,0.40501187786800075,0.4264778336792256,0.28433417071255646,0.261258499277943,0.2724789389003971,0.42881855121085927,0.4429617391611336,1.0
