,e24,e30_R,e57,h2029,x133,x145,x181_R,x216_R,x251_R,x274_R
e24,1.0,0.1556746057777665,0.5225120731372107,0.1436360445095627,0.16062851650106177,0.3077639732905867,0.22628587160132632,0.12605631591401104,0.2532497830654704,0.30728333717575823
e30_R,0.1556746057777665,1.0,0.22985483819937186,0.1725896387950493,0.12558167898799644,0.15114697599215415,0.2178015166977823,0.35305127996045504,0.1416354790573534,0.21878960843281484
e57,0.5225120731372107,0.22985483819937186,1.0,0.08055694456270521,0.30869638484475875,0.281932581978124,0.26004396685085734,0.1994325112334571,0.22589130121027004,0.27071644088304103
h2029,0.1436360445095627,0.1725896387950493,0.08055694456270521,1.0,0.11894879399843436,0.3904297677591584,0.25608672802247756,0.08592484522061429,0.16276954088029652,0.17676932671684306
x133,0.16062851650106177,0.12558167898799644,0.30869638484475875,0.11894879399843436,1.0,0.28501235664279767,0.39355651954547216,0.2121092616646503,0.30543355258616306,0.2698409812282895
x145,0.3077639732905867,0.15114697599215415,0.281932581978124,0.3904297677591584,0.28501235664279767,1.0,0.5143854042562278,0.17896138839758086,0.43356257571322643,0.27491489633590804
x181_R,0.22628587160132632,0.2178015166977823,0.26004396685085734,0.25608672802247756,0.39355651954547216,0.5143854042562278,1.0,0.29265688749251517,0.3883952153858984,0.3573209289239154
x216_R,0.12605631591401104,0.35305127996045504,0.1994325112334571,0.08592484522061429,0.2121092616646503,0.17896138839758086,0.29265688749251517,1.0,0.22929483379272575,0.22313889348615557
x251_R,0.2532497830654704,0.1416354790573534,0.22589130121027004,0.16276954088029652,0.30543355258616306,0.43356257571322643,0.3883952153858984,0.22929483379272575,1.0,0.474405874904089
x274_R,0.30728333717575823,0.21878960843281484,0.27071644088304103,0.17676932671684306,0.2698409812282895,0.27491489633590804,0.3573209289239154,0.22313889348615557,0.474405874904089,1.0
