"facet","model","R2_cv","MAE_cv"
"N1_Anxiety","RandomForest",0.9647,0.0992
"N1_Anxiety","LinearRegression",1,0
"N1_Anxiety","SingleBestItem",0.2894,0.4664
"N2_Anger","RandomForest",0.976,0.084
"N2_Anger","LinearRegression",1,0
"N2_Anger","SingleBestItem",0.3664,0.4587
"N3_Depression","RandomForest",0.9756,0.0908
"N3_Depression","LinearRegression",1,0
"N3_Depression","SingleBestItem",0.4559,0.4532
"N4_SelfConscious","RandomForest",0.9539,0.1087
"N4_SelfConscious","LinearRegression",1,0
"N4_SelfConscious","SingleBestItem",0.2437,0.4642
"N5_Immoderation","RandomForest",0.9536,0.1092
"N5_Immoderation","LinearRegression",1,0
"N5_Immoderation","SingleBestItem",0.2799,0.4495
"N6_Vulnerability","RandomForest",0.9541,0.0938
"N6_Vulnerability","LinearRegression",1,0
"N6_Vulnerability","SingleBestItem",0.3817,0.3836
