"facet","model","R2_cv","MAE_cv"
"N1_Anxiety","RandomForest",0.5884,0.3596
"N1_Anxiety","LinearRegression",0.6024,0.3493
"N1_Anxiety","MeanBaseline",0,0.5677
"N2_Anger","RandomForest",0.5634,0.3271
"N2_Anger","LinearRegression",0.589,0.3245
"N2_Anger","MeanBaseline",0,0.4785
"N3_Depression","RandomForest",0.6231,0.3669
"N3_Depression","LinearRegression",0.6434,0.3568
"N3_Depression","MeanBaseline",0,0.604
"N4_SelfConscious","RandomForest",0.5107,0.3442
"N4_SelfConscious","LinearRegression",0.5304,0.334
"N4_SelfConscious","MeanBaseline",0,0.5084
"N5_Immoderation","RandomForest",0.5269,0.322
"N5_Immoderation","LinearRegression",0.5365,0.3221
"N5_Immoderation","MeanBaseline",0,0.4801
"N6_Vulnerability","RandomForest",0.5768,0.2662
"N6_Vulnerability","LinearRegression",0.5984,0.2612
"N6_Vulnerability","MeanBaseline",0,0.4045
