"facet","item","rf_importance","rf_importance_pct","itc_rank","rf_rank","rank_difference"
"N1_Anxiety","h1157",51.3878942834732,20.81,10,1,9
"N1_Anxiety","x107",40.1438511593756,16.25,7,2,5
"N1_Anxiety","x138_R",34.1015820090767,13.81,6,3,3
"N1_Anxiety","x120",26.9344075288641,10.91,5,4,1
"N1_Anxiety","h999",23.0904126380461,9.35,4,5,-1
"N1_Anxiety","e141_R",18.7382961492035,7.59,3,6,-3
"N1_Anxiety","h968",15.9518343844858,6.46,9,7,2
"N1_Anxiety","e150_R",14.4323770301783,5.84,8,8,0
"N1_Anxiety","h1046_R",14.2785907357404,5.78,2,9,-7
"N1_Anxiety","h2000_R",7.91552477488766,3.2,1,10,-9
"N2_Anger","h754",55.8692934332334,19.71,6,1,5
"N2_Anger","x231_R",51.2605274678421,18.09,9,2,7
"N2_Anger","x265_R",45.3266782273845,15.99,7,3,4
"N2_Anger","h761",39.7131759968949,14.01,10,4,6
"N2_Anger","x95",25.1830438440026,8.89,3,5,-2
"N2_Anger","x23_R",22.0064310915007,7.76,4,6,-2
"N2_Anger","h755",15.0562851936014,5.31,8,7,1
"N2_Anger","e120_R",11.411970140559,4.03,5,8,-3
"N2_Anger","x84",11.0761618874636,3.91,2,9,-7
"N2_Anger","x191_R",6.5115596636148,2.3,1,10,-9
"N3_Depression","x74",67.4503243283146,21.07,9,1,8
"N3_Depression","x156_R",55.8429274060391,17.45,10,2,8
"N3_Depression","x15",54.7020327133865,17.09,3,3,0
"N3_Depression","h640",32.4713519316272,10.15,8,4,4
"N3_Depression","h646",28.6199398684121,8.94,5,5,0
"N3_Depression","e92",19.0509015620633,5.95,7,6,1
"N3_Depression","h947",18.2856722447604,5.71,2,7,-5
"N3_Depression","x205",17.9188766332713,5.6,6,8,-2
"N3_Depression","x129_R",14.1017149055713,4.41,1,9,-8
"N3_Depression","h737_R",11.612192564202,3.63,4,10,-6
"N4_SelfConscious","h991",39.1382296084276,16.87,8,1,7
"N4_SelfConscious","x242_R",34.3081360668591,14.78,7,2,5
"N4_SelfConscious","h905",30.1942955708613,13.01,10,3,7
"N4_SelfConscious","h592",29.1432774974555,12.56,9,4,5
"N4_SelfConscious","h655",20.3660894365154,8.78,4,5,-1
"N4_SelfConscious","x209_R",20.2682010090953,8.73,5,6,-1
"N4_SelfConscious","x197_R",19.8738392041159,8.56,2,7,-5
"N4_SelfConscious","h1205",14.3273982440081,6.17,6,8,-2
"N4_SelfConscious","h656",13.93253784604,6,3,9,-6
"N4_SelfConscious","h1197_R",10.4989948069998,4.52,1,10,-9
"N5_Immoderation","x145",45.2848450882428,20.06,10,1,9
"N5_Immoderation","x181_R",41.2641497388514,18.28,8,2,6
"N5_Immoderation","x274_R",30.9778649979807,13.72,2,3,-1
"N5_Immoderation","e57",23.1428063556506,10.25,7,4,3
"N5_Immoderation","x251_R",20.9273007732338,9.27,3,5,-2
"N5_Immoderation","x133",15.1887452200964,6.73,1,6,-5
"N5_Immoderation","e24",14.7929367410861,6.55,4,7,-3
"N5_Immoderation","x216_R",13.7134268087733,6.07,9,8,1
"N5_Immoderation","e30_R",12.4605232786313,5.52,6,9,-3
"N5_Immoderation","h2029",8.01071012335288,3.55,5,10,-5
"N6_Vulnerability","h948",41.6711174918827,19.72,7,1,6
"N6_Vulnerability","h959",33.2402970113418,15.73,9,2,7
"N6_Vulnerability","h954",26.5753698963156,12.57,5,3,2
"N6_Vulnerability","x79_R",26.06341993268,12.33,4,4,0
"N6_Vulnerability","h950",21.5332135020527,10.19,10,5,5
"N6_Vulnerability","h1281_R",16.791505159058,7.95,2,6,-4
"N6_Vulnerability","h470_R",14.4098457339815,6.82,1,7,-6
"N6_Vulnerability","e64_R",12.1327822410835,5.74,6,8,-2
"N6_Vulnerability","h901",10.386328903989,4.91,8,9,-1
"N6_Vulnerability","h44_R",8.53240903062333,4.04,3,10,-7
