facet,item_i,item_i_text,item_j,item_j_text,pair_r,pair_vs_rest_r
N1_Anxiety,e141_R,"Am relaxed most
of the time.",e150_R,"Don't worry
about things that have already happened.",0.3740449669226829,0.526415992795292
N1_Anxiety,e141_R,"Am relaxed most
of the time.",h1046_R,"Am not easily
disturbed by events.",0.2551316151974196,0.6215303434356475
N1_Anxiety,e141_R,"Am relaxed most
of the time.",h1157,"Worry about
things.",0.2967408341502957,0.7044756356289179
N1_Anxiety,e141_R,"Am relaxed most
of the time.",h2000_R,"Adapt easily to
new situations.",0.2621348206544875,0.5665999045552171
N1_Anxiety,e141_R,"Am relaxed most
of the time.",h968,"Am afraid of
many things.",0.2117374794378506,0.6286354277899768
N1_Anxiety,e141_R,"Am relaxed most
of the time.",h999,"Fear for the
worst.",0.3124972317826439,0.6206252991825486
N1_Anxiety,e141_R,"Am relaxed most
of the time.",x107,"Get stressed
out easily.",0.4048218367924842,0.6232800680985169
N1_Anxiety,e141_R,"Am relaxed most
of the time.",x120,"Get caught up
in my problems.",0.306813160733168,0.6524831503924852
N1_Anxiety,e141_R,"Am relaxed most
of the time.",x138_R,"Am not easily
bothered by things.",0.3552184823865635,0.6247125821047531
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",h1046_R,"Am not easily
disturbed by events.",0.2597610027674208,0.5904932017712249
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",h1157,"Worry about
things.",0.3518786995250298,0.6446548560037796
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",h2000_R,"Adapt easily to
new situations.",0.1600523934731161,0.5863845296779816
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",h968,"Am afraid of
many things.",0.2166716056702766,0.5995029649643341
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",h999,"Fear for the
worst.",0.2918918064026805,0.6023823854592106
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",x107,"Get stressed
out easily.",0.2818799537145631,0.6555028433018931
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",x120,"Get caught up
in my problems.",0.2888783096358029,0.6321398044461396
N1_Anxiety,e150_R,"Don't worry
about things that have already happened.",x138_R,"Am not easily
bothered by things.",0.3548637643506515,0.5957557654625703
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",h1157,"Worry about
things.",0.4028911225758021,0.6629656694297772
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",h2000_R,"Adapt easily to
new situations.",0.2991952611168206,0.5622350944632089
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",h968,"Am afraid of
many things.",0.2861121376339189,0.6014523249412755
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",h999,"Fear for the
worst.",0.2764452421152572,0.6512855738126401
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",x107,"Get stressed
out easily.",0.3261902069172941,0.6760378693645807
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",x120,"Get caught up
in my problems.",0.3602488987717068,0.639387370230934
N1_Anxiety,h1046_R,"Am not easily
disturbed by events.",x138_R,"Am not easily
bothered by things.",0.4050118778680007,0.6144724534709368
N1_Anxiety,h1157,"Worry about
things.",h2000_R,"Adapt easily to
new situations.",0.3198028077718243,0.6569642997974979
N1_Anxiety,h1157,"Worry about
things.",h968,"Am afraid of
many things.",0.3783430437142648,0.6543637088669411
N1_Anxiety,h1157,"Worry about
things.",h999,"Fear for the
worst.",0.4604143292852388,0.6575577326362829
